policy,failure,device,workload,min_useful_mean,min_useful_ci_low,min_useful_ci_high,switch_rate,interruption_ms,outage_rate
FR2_ONLY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
FR2_ONLY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
FR2_ONLY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,8.0,1.0
FR2_ONLY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
STATIC_PREFERRED,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,sub6_congestion,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
STATIC_PREFERRED,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
STATIC_PREFERRED,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
STATIC_PREFERRED,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
STATIC_PREFERRED,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SIGNAL_POLICY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.375,30.333333333333332,0.0
SIGNAL_POLICY,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SIGNAL_POLICY,sub6_congestion,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
SIGNAL_POLICY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SIGNAL_POLICY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SIGNAL_POLICY,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SIGNAL_POLICY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.375,30.333333333333332,0.0
SIGNAL_POLICY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.375,30.333333333333332,0.0
SIGNAL_POLICY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
SIGNAL_POLICY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SIGNAL_POLICY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,sub6_congestion,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
SERVICE_AWARE_POLICY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SERVICE_AWARE_POLICY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SERVICE_AWARE_POLICY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
DIGITAL_TWIN_POLICY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
DIGITAL_TWIN_POLICY,sub6_congestion,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
DIGITAL_TWIN_POLICY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
DIGITAL_TWIN_POLICY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
DIGITAL_TWIN_POLICY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
OPTIMIZATION_REFERENCE,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,sub6_congestion,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
OPTIMIZATION_REFERENCE,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
OPTIMIZATION_REFERENCE,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
OPTIMIZATION_REFERENCE,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
OPTIMIZATION_REFERENCE,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,sub6_congestion,student_14_5,lecture_video,0.8333333333333334,0.6540416666666666,1.012625,0.2916666666666667,24.166666666666668,0.16666666666666666
LEARNED_POLICY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
LEARNED_POLICY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
LEARNED_POLICY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
LEARNED_POLICY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SERVICE_AWARE_POLICY,nominal,student_14_5,interactive_tutor,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,student_14_5,interactive_tutor,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,handheld_hybrid,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,handheld_hybrid,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SERVICE_AWARE_POLICY,nominal,handheld_hybrid,interactive_tutor,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,handheld_hybrid,interactive_tutor,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,ds_xl_coder,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,ds_xl_coder,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SERVICE_AWARE_POLICY,nominal,ds_xl_coder,interactive_tutor,1.0,1.0,1.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,ds_xl_coder,interactive_tutor,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,edge_io_rings,lecture_video,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,edge_io_rings,lecture_video,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,nominal,edge_io_rings,interactive_tutor,0.0,0.0,0.0,0.0,0.0,0.0
SERVICE_AWARE_POLICY,simultaneous,edge_io_rings,interactive_tutor,0.0,0.0,0.0,0.0,0.0,0.0
